Título;Subtítulo;Autor;Editor;Encuadernación;Fecha de compra;Precio de compra;Editorial;Edición;Año del copyright;Año de publicación;ISBN#;LCCN#;Páginas;Traductor;Idioma;Género;Palabras clave;Serie;Número en la serie;Condición;Firmado;Leído;Regalo;Prestado;Clasificación;Carátula frontal;Sinopsis;Comentarios;ID;Fecha de creación;Fecha de modificación;País Autor;Estante
Insoportable Levedad Del Ser, La;;KUNDERA, MILAN;;Tapa blanda;;;;;;;;;;;Castellano;;Filosofía;;;;;true;;;;;Esta es una extraordinaria historia de amor, o sea de celos, de sexo, de traiciones, de muerte y también de las debilidades y paradojas de la vida cotidiana de dos parejas cuyos destinos se entrelazan irremediablemente. Guiado por la asombrosa capacidad de Milan Kundera de contar con cristalina claridad, el lector penetra fascinado en la trama compleja de actos y pensamientos que el autor va tejiendo con diabólica sabiduría en torno a sus personajes. Y el lector no puede sino terminar siendo el mismo personaje, cuando no todos a la vez. Y es que esta novela va dirigida al corazón, pero también a la cabeza del lector. En efecto, los celos de Teresa por Tomás, el terco amor de éste por ella opuesto a su irreflenable deseo de otras mujeres, el idealismo lírico y cursi de Franz, amante de Sabina, y la necesidad de ésta, amante también de Tomás, de perseguir incansable, una libertad que tan sólo la conduce a la insoportable levedad del ser, se convierten de simple anécdota en reflexión sobre problemas filosóficos que, afectan a cada uno directamente, cada día.;;1;2023-10-09;2023-10-16;Checoslavaquia;
Susurro de Las Mujeres;;Exilart, Gabriela;;Tapa blanda;;;Penguin Random House;1;2022;2022;978-950-644-619-2;;368;;Castellano;Narrativa;"Lucha; Mujer";;;;;true;true;;4;224df93faeb265a23b485209faacff4c.jpeg;1910. Buenos Aires, majestuosa y en pleno proceso de modernización, se prepara para el Centenario. Allegra y Fiorella, tía y sobrina, han llegado de Italia con el objetivo de forjarse un futuro en esta nueva tierra que parece repleta de oportunidades. La ciudad las recibe con los brazos abiertos y de fiesta. La primera vino por una promesa de amor y al poco tiempo se encontró al mando de un campo. Fiorella, lejos de sus padres, conoce a Julieta Lanteri, una médica luchadora por los derechos de las mujeres, quien genera un impacto sin precedentes en ella y con quien entabla una profunda amistad basada en la admiración y el respeto. Por otro lado, en Italia, Gianna, hermana de Fiorella, busca desesperadamente el modo de cruzar el océano y así poder dejar atrás una vida al borde de la marginalidad absoluta. Finalmente logra llegar a Buenos Aires, que la cautiva por completo.<br/><br/>De la mano de Julieta Lanteri, las dos hermanas inmigrantes se involucran en reclamos y congresos para conseguir la igualdad y el voto femenino. Amores cruzados, infidelidades, pasiones, dominación masculina, dan lugar a un femicidio, y el presunto culpable es recluido en la tan temida cárcel del fin del mundo.<br/><br/>Esta novela narra el camino recorrido por las mujeres para conseguir el reconocimiento de sus derechos civiles y políticos.<br/><br/>El susurro de las mujeres reconstruye, con mirada exquisita y atenta, un período clave de la historia argentina que nos permite entender mejor el presente y la razón por la cual nuestra tierra fue y es fértil en talentos e impulsos de cambio.;Muy bueno!;2;2023-10-09;2024-04-14;Argentina;D7
Narradores Patagónicos;Cuentos Escogidos;"Abadie, Carlos; Angelino, Diego; Baudés, Jorge; Boucau, Delia; Calvo, Laura; Cazenave, H. Wálter; Chucair, Elías; Covaro, Hugo; de Boer, Miguel Ángel; Etchenique, Jorge; Fueyo, Norhy; Quirno, Carlota García; Carey, Fernando González; Isla, Elpidio; Marrazzo, Pascual; Massacese, Magda; Miguel, Carmen; Morris, Mónica; Muñoz, Lilí; Pellín, Osvaldo; Pravaz, Sergio; Rithner, Juan Raúl; Sacamata, Carlos; Uranga, Ángel; Villegas, Mariano";Chaktoura, Julia;Tapa blanda;12/2022;;Jornada SA;1;2010;2010;978-987-174405-3;;288;;Castellano;Narrativa;Patagonia;;;Nuevo;;true;;;3;7370d097478d595bec6fff2b4055d467.png;La presente antología, que incluye solamente autores vivos al momento de su publicación, nacidos antes de 1960, intenta mostrar la obra de escritores cuya trayectoria no se agotó en sus primeros textos, sino que continúan vigentes y con renovada presencia.<br/><br/>Estamos frente a obras de calidad que merecen ser puestas en valor mediante una publicación de esta jerarquía, y ser generosamente compartidas con los lectores.<br/><br/>Carlos Abadie - Diego Angelino - Jorge Baudés - Delia Boucau - Laura Calvo - H. Wálter Cazenave - Elías Chucair - Hugo Covaro - Miguel Ángel de Boer - Jorge Etchenique - Norhy Fueyo - Carlota García Quirno - Fernando González Carey - Elpidio Isla - Pascual Marrazzo - Magda Massacese - Carmen Miguel - Mónica Morris - Lilí Muñoz - Osvaldo Pellín - Sergio Pravaz - Juan Raúl Rithner - Carlos Sacamata - Ángel Uranga - Mariano Villegas;Comprado en Gaiman;3;2023-10-09;2023-10-13;Argentina;
El Dragón, Rashomón y Otros Cuentos;;AKUTAGAWA, RYUNOSUKE;Ramírez, José L.;Tapa blanda;2021-01-01;;Quaterni;;2012;2006;978-84-94-03010-9;;374;Rubin, Jay;Castellano;Narrativa;"Japón; Literatura contemporánea; Cuentos";;;;;true;;;3;079690621ade49fbc8e0c958daf77b1e.jpeg;"Akutagawa Ryûnosuke es uno de los escritores japoneses más extraordinarios de todos los tiempos. Su elegante estilo, dotado de humor, ironía, misterio y lirismo ha influido de forma continuada en gran parte de los escritores japoneses desde comienzos del siglo XX hasta nuestros días.<br/>En este libro se incluye una selección de sus mejores cuentos y narraciones breves realizada por Jay Rubin, especialista mundial y estudioso de Akutagawa, que abarca la totalidad de los estilos del autor desde Rashômon, hasta Vida de un necio, pasando por En la maleza de un bosque.<br/>Editorial Quaterni recupera a este clásico de las letras japonesas, traducido íntegramente del japonés por primera vez en nuestro país.<br/>“Un escritor nato de relatos y narraciones breves y un estilo de escalofriante belleza… sus mejores cuentos pueden leerse una y otra vez sin perder nunca su interés”<br/>Haruki Murakami, Prólogo a Rashômon and 17 Other Stories<br/>""Sus cuentos sitúan a Akutagawa Ryûnosuke junto a los grandes maestros de la narración corta como Kafka o Cortázar""<br/>Paul Kane, The Compulsive Reader";;4;2023-10-09;2023-10-16;Japón;
En el Enjambre;;Han, Byung-Chul;;Tapa blanda;;;Herder;1;2013;2019;978-84-25-43368-9;;109;;Castellano;Filosofía;Era digital;;;;;;;;;9d57064bbb935c78505ea995d866947e.jpeg;¿De qué modo la revolución digital, internet y las redes sociales han transformado la sociedad y las relaciones? Han analiza las diferencias entre la «masa clásica» y la nueva masa, a la que llama el «enjambre digital».;;5;2023-10-09;2023-10-16;Corea del Sur;
Jala;;Lozza, Irene;;Tapa blanda;12/2022;;Tierra de Sur;1;2020;2020;;;;;Castellano;Narrativa;Patagonia;;;;;;;;;91a903a7b4372703b17ffacf7c8000ef.png;Jalar es tirar de algo o de alguien para llevar o para traer, es una acción que dice movimiento. Pero antes de Jalar hay que detener la vista para mirar”, dice la contratapa de la primer novela de Irene Lozza, la creadora de Cuenteros Comunitarios y escritora sanmartinense. RSM conversó con ella para conocer más detalles al respecto.<br/><br/>“Jala es mi primer novela. El desafío en este trabajo fue tejer algo más largo de lo que venía produciendo en mis relatos para chicos. Una narración técnicamente diferente. Toda mi literatura tiene muy fuerte la marca de la necesidad de la esperanza. Siento que se necesita encontrar un profundo sentido a las cosas, para poder tejer hilos para tramarse y sentir que lo que hacemos no es en vano. Es una esperanza de trabajo artesanal, un quehacer, un camino heroico como marcan los cuentos populares, que son un llamado a la fuerza y una fuente inagotable de sabiduria”, explica la escritora local, fundadora de Cuenteros Comunitarios.;;6;2023-10-09;2023-10-12;Argentina;
Contrato con el Frío;Y Otras Historias de Montaña;Troller, Epstein y Otros;;Tapa blanda;12/2022;;Centro Editor Municipal;2;2020;2020;978-987-473741-0;;160;;Castellano;Narrativa;"Patagonia; Cuentos";;;Nuevo;;;;;;366278ebc7525111614f09e0ead03151.jpeg;"Un hallazgo fortuito entre la nieve deja al descubierto las fisuras de lo que parecía una sólida amistad. Los retazos de una historia contada en un oscuro pub inglés desencadenan una búsqueda que terminará entre los lagos y montañas de la Patagonia. La apacible tranquilidad de un pueblito cordillerano puede esconder secretos terribles.<br/><br/>Majestuosas, eternas, las montañas son, desde siempre, testigos mudos de las grandezas y miserias de la humanidad; y en este volumen son el marco perfecto para once historias en las que el hilo conductor parece ser la búsqueda: de una verdad, de un nombre, de venganza o redención.<br/><br/>Búsquedas diversas que confluyen en aquello que tanto envidiamos a las montañas y que pocas personas alcanzan a vislumbrar: la trascendencia.";;7;2023-10-11;2023-10-16;Argentina;
Boquitas Pintadas;Folletín;Puig, Manuel;;Tapa blanda;;;Octaedro;;2003;2003;968-432826-5;;223;;Castellano;Narrativa;"Ficción; Literatura";;;;;true;;;;1db534d9452b335f74824444522407f6.png;La trama de esta novela se desarrolla sobre todo en Coronel Vallejos, una localidad ficticia de la Provincia de Buenos Aires. Parte de su trama tiene también lugar en la ciudad de Buenos Aires y, eventualmente, en las sierras cordobesas. La mayor parte de la trama ocurre durante las décadas de 1930 y 1940.<br/><br/>Aunque la protagonista es Nené, la historia gira alrededor de Juan Carlos, personaje con el que Nené tiene un romance y de quien queda profundamente enamorada por muchos años.;;8;2023-10-11;2023-10-16;Argentina;
Sabina, en Carne Viva;;"Sabina, Joaquín; Flores, Javier Menéndez";;Tapa blanda;;;Debolsillo;1;2006;2007;970-780976-0;;448;;Castellano;Narrativa;Biografía;;;;;true;;;;c67e638a429a5731b669c53d4b234f3d.jpeg;RESUMEN: Biografía del cantante y autor español Joaquín Sabina.;;9;2023-10-11;2023-10-16;España;
Vino Argentino;Manual Práctico;"Dengis, Jorge; Dengis, María Fernanda";;Tapa blanda;;;Editorial Albatros;1;2013;2006;978-950-241435-5;;191;;Castellano;Vinos;Descriptivo;;;Nuevo;;;;;;620ff37e18e87de45dad9e17f91435b0.jpeg;;Complete illustrated guide for wine lovers.;10;2023-10-11;2023-10-16;Argentina;
